numero;cidade;bairro;endereco;tipo;area;quartos;preco;avaliacao;desconto;economia;modalidade;aceita_financiamento;aceita_fgts;link;edital;matricula;descricao
1444418577210;Fazenda Rio Grande;Estados;RUA PIEN, N. 329, CS 108;Casa;42.0;2;133437.74;212000.0;37.06;78562.26;Licitação Aberta;False;False;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444418577210;https://venda-imoveis.caixa.gov.br/editais/EA00220326CPVERE.PDF;https://venda-imoveis.caixa.gov.br/editais/matricula/PR/1444418577210.pdf;Casa, 42.00 de área total, 42.00 de área privativa, 73.20 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.
8444423636724;Fazenda Rio Grande;Nacoes;AVENIDA VENEZUELA, N. 1827, Apto 13, BL 52 TIPO 03 VG 463;Apartamento;42.57;2;124854.83;198363.85;37.06;73509.02;Licitação Aberta;False;False;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444423636724;;;Apartamento, 49.30 de área total, 42.57 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.
1444424287210;São José dos Pinhais;Sao Domingos;RUA PARANA, N. 148, Apto 201, TIPO A, BL 01, 2º PAVIMENTO, VAGA 09;Apartamento;53.29;2;136584.86;217000.0;37.06;80415.14;Licitação Aberta;False;False;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444424287210;;;Apartamento, 0.00 de área total, 53.29 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.
10284141;Campo Largo;Moradias Bom Jesus;RUA JOÃO TIGRINHO DE FREITAS/ ANTIGA UA 16, N. CS 16, CASA;Casa;547.75;5;2421794.34;3800000.0;36.27;1378205.66;Venda Direta Online;False;False;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10284141;;;Casa, 0.00 de área total, 547.75 de área privativa, 1468.00 de área do terreno,  5 qto(s), varanda, a.serv, WC, WC Emp, 2 sala(s), 1 lavabo(s), cozinha, Terraco.
1444407173466;Curitiba;Cidade Industrial;RUA JOAO SGUARIO, N. 624, CS 01 LT P QD 16;Casa;90.99;3;235806.29;370000.0;36.27;134193.71;Licitação Aberta;False;False;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444407173466;;;Casa, 90.99 de área total, 90.99 de área privativa, 74.81 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), 1 lavabo(s), cozinha, 1 vaga(s) de garagem.
8444404619259;Curitiba;Pinheirinho;RUA IZAAC FERREIRA DA CRUZ, N. 1660, Apto 11, BL 12, 2º PAVIMENTO, 1º ANDAR, VAGA 04;Apartamento;59.7;2;179722.63;282000.0;36.27;102277.37;Licitação Aberta;False;False;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444404619259;;;Apartamento, 59.70 de área total, 59.70 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.
1787702097611;Curitiba;Santa Candida;RUA PEDRO KACHEL, N. 81, Apto 103, BL 16;Apartamento;38.4;2;174624.12;274000.0;36.27;99375.88;Licitação Aberta;False;False;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1787702097611;;;Apartamento, 45.74 de área total, 38.40 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.
1555528553075;Curitiba;Tingui;RUA JOAO BATISTA TRENTIN, N. 796, 200;Casa;410.32;3;1453076.6;2280000.0;36.27;826923.4;Venda Direta Online;False;False;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555528553075;;;Casa, 410.32 de área total, 410.32 de área privativa, 528.00 de área do terreno,  3 qto(s), a.serv, WC, 4 sala(s), cozinha.
1444418870180;Fazenda Rio Grande;Gralha Azul;RUA CHOPIM ESQ RUA JURUVIARA, N. 288, CS 01 PARTE LT 101 QD 11;Casa;51.72;4;248552.58;390000.0;36.27;141447.42;Venda Direta Online;False;False;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444418870180;;;Casa, 138.91 de área total, 51.72 de área privativa, 194.79 de área do terreno,  4 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.
1444418887481;São José dos Pinhais;Academia;RUA MARIA ALICE SADEMBERG, N. 324, LT 11 QD 05;Terreno;480.0;;184821.15;290000.0;36.27;105178.85;Venda Direta Online;False;False;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444418887481;;;Terreno, 0.00 de área total, 0.00 de área privativa, 480.00 de área do terreno.
